targa;data_ora;velocita
AB123CD;2024-04-25 17:08:00;45.2
MN321QP;2024-04-25 19:01:00;42.6
MN321QP;2024-04-25 01:01:00;62.1
AB123CD;2024-04-25 12:02:00;48.3
MN321QP;2024-04-25 08:18:00;51.7
AB123CD;2024-04-25 19:58:00;53.1
XY987ZT;2024-04-25 22:37:00;40.3
LM456GH;2024-04-25 09:36:00;43.3
XY987ZT;2024-04-25 20:51:00;45.3
LM456GH;2024-04-25 14:28:00;53.6
MN321QP;2024-04-25 08:38:00;38.3
AB123CD;2024-04-25 11:36:00;52.4
AB123CD;2024-04-25 21:01:00;56.2
CD789JK;2024-04-25 19:49:00;49.4
AB123CD;2024-04-25 16:10:00;59.2
AB123CD;2024-04-25 12:04:00;46.1
LM456GH;2024-04-25 05:49:00;47.7
LM456GH;2024-04-25 01:27:00;65.0
AB123CD;2024-04-25 14:50:00;52.9
XY987ZT;2024-04-25 21:42:00;55.6
AB123CD;2024-04-25 09:45:00;41.8
AB123CD;2024-04-25 09:02:00;48.6
LM456GH;2024-04-25 08:31:00;62.9
XY987ZT;2024-04-25 06:56:00;56.0
LM456GH;2024-04-25 09:09:00;56.4
XY987ZT;2024-04-25 19:47:00;53.5
AB123CD;2024-04-25 13:36:00;66.7
MN321QP;2024-04-25 03:58:00;50.0
LM456GH;2024-04-25 14:58:00;61.8
XY987ZT;2024-04-25 12:44:00;54.3
XY987ZT;2024-04-25 08:47:00;50.1
AB123CD;2024-04-25 01:17:00;48.9
MN321QP;2024-04-25 18:45:00;47.8
LM456GH;2024-04-25 00:51:00;60.5
LM456GH;2024-04-25 04:08:00;39.6
LM456GH;2024-04-25 21:18:00;44.4
MN321QP;2024-04-25 06:37:00;44.3
MN321QP;2024-04-25 21:51:00;52.5
LM456GH;2024-04-25 19:38:00;41.7
MN321QP;2024-04-25 17:04:00;34.0
LM456GH;2024-04-25 07:32:00;53.5
AB123CD;2024-04-25 01:13:00;51.5
XY987ZT;2024-04-25 19:18:00;51.9
LM456GH;2024-04-25 23:48:00;43.2
AB123CD;2024-04-25 08:42:00;53.8
XY987ZT;2024-04-25 16:12:00;59.2
AB123CD;2024-04-25 20:21:00;48.2
CD789JK;2024-04-25 08:26:00;60.3
CD789JK;2024-04-25 20:44:00;58.9
XY987ZT;2024-04-25 01:57:00;60.5
CD789JK;2024-04-25 05:50:00;44.0
LM456GH;2024-04-25 05:31:00;52.1
LM456GH;2024-04-25 02:30:00;33.8
CD789JK;2024-04-25 02:40:00;50.5
CD789JK;2024-04-25 18:59:00;49.3
XY987ZT;2024-04-25 18:52:00;39.9
XY987ZT;2024-04-25 11:04:00;58.5
MN321QP;2024-04-25 20:59:00;49.3
CD789JK;2024-04-25 23:49:00;45.2
MN321QP;2024-04-25 22:09:00;48.2
CD789JK;2024-04-25 11:44:00;42.7
MN321QP;2024-04-25 05:44:00;55.1
XY987ZT;2024-04-25 05:57:00;51.2
CD789JK;2024-04-25 00:36:00;53.5
AB123CD;2024-04-25 20:28:00;44.8
CD789JK;2024-04-25 09:52:00;53.5
XY987ZT;2024-04-25 19:35:00;49.4
MN321QP;2024-04-25 01:51:00;40.9
MN321QP;2024-04-25 11:30:00;46.3
XY987ZT;2024-04-25 09:18:00;46.3
CD789JK;2024-04-25 21:28:00;48.9
LM456GH;2024-04-25 11:16:00;40.9
AB123CD;2024-04-25 20:27:00;44.7
LM456GH;2024-04-25 03:40:00;50.7
MN321QP;2024-04-25 22:44:00;51.9
XY987ZT;2024-04-25 04:37:00;55.7
CD789JK;2024-04-25 22:02:00;53.8
XY987ZT;2024-04-25 06:44:00;40.2
CD789JK;2024-04-25 04:36:00;51.9
MN321QP;2024-04-25 06:48:00;46.5
AB123CD;2024-04-25 12:34:00;41.3
AB123CD;2024-04-25 11:22:00;47.5
CD789JK;2024-04-25 00:40:00;49.6
CD789JK;2024-04-25 06:03:00;44.2
XY987ZT;2024-04-25 11:55:00;37.2
MN321QP;2024-04-25 11:41:00;46.8
LM456GH;2024-04-25 08:25:00;52.4
LM456GH;2024-04-25 00:19:00;44.9
XY987ZT;2024-04-25 03:58:00;50.4
LM456GH;2024-04-25 16:14:00;48.9
XY987ZT;2024-04-25 19:22:00;52.7
AB123CD;2024-04-25 01:31:00;52.8
AB123CD;2024-04-25 06:04:00;45.8
CD789JK;2024-04-25 19:57:00;35.7
MN321QP;2024-04-25 15:42:00;40.1
CD789JK;2024-04-25 13:02:00;44.7
MN321QP;2024-04-25 10:14:00;43.0
XY987ZT;2024-04-25 09:16:00;36.1
AB123CD;2024-04-25 13:38:00;59.2
XY987ZT;2024-04-25 06:01:00;49.9
